# POINT_X,POINT_Y,Min_temp_Jul_F,Max_temp_jul_F,Rainfall_jul_inch
395196.8188,798890.0521,48.81,-9999.00,0.85
391196.8188,797890.0521,48.81,62.02,0.85
196196.8188,796890.0521,47.89,61.12,2.04
289196.8188,796890.0521,45.21,57.22,0.92
295196.8188,796890.0521,43.95,57.85,1.01
189196.8188,794890.0521,47.89,60.30,2.04
195196.8188,794890.0521,47.50,61.12,2.26
288196.8188,794890.0521,43.95,57.22,1.01
191196.8188,793890.0521,47.50,60.30,2.26
371196.8188,793890.0521,47.70,62.02,0.84
367196.8188,792890.0521,47.70,62.55,0.84
373196.8188,792890.0521,47.84,62.02,0.92
271196.8188,791890.0521,44.67,57.22,0.97
267196.8188,790890.0521,44.67,58.60,0.97
273196.8188,790890.0521,44.85,57.22,0.99
366196.8188,790890.0521,47.84,62.55,0.92
173196.8188,788890.0521,49.55,60.30,1.70
266196.8188,788890.0521,44.85,58.60,0.99
349196.8188,787890.0521,45.46,62.55,0.85
166196.8188,786890.0521,49.55,61.29,1.70
249196.8188,785890.0521,46.40,58.60,1.15
342196.8188,785890.0521,45.46,61.02,0.85
348196.8188,785890.0521,45.99,62.55,0.93
344196.8188,784890.0521,45.99,61.02,0.93
242196.8188,783890.0521,46.40,58.55,1.15
248196.8188,783890.0521,45.39,58.60,1.22
244196.8188,782890.0521,45.39,58.55,1.22
327196.8188,781890.0521,43.88,61.02,0.93
320196.8188,779890.0521,43.88,60.22,0.93
326196.8188,779890.0521,45.32,61.02,0.91
224196.8188,778890.0521,48.11,58.55,1.58
220196.8188,777890.0521,48.11,58.01,1.58
226196.8188,777890.0521,46.20,58.55,1.86
319196.8188,777890.0521,45.32,60.22,0.91
219196.8188,775890.0521,46.20,58.01,1.86
302196.8188,774890.0521,43.95,60.22,1.01
201196.8188,772890.0521,47.50,58.01,2.26
294196.8188,772890.0521,43.95,61.79,1.01
300196.8188,772890.0521,47.12,60.22,0.86
297196.8188,771890.0521,47.12,61.79,0.86
194196.8188,770890.0521,47.50,60.53,2.26
200196.8188,770890.0521,48.40,58.01,1.94
379196.8188,770890.0521,47.84,-9999.00,0.92
196196.8188,769890.0521,48.40,60.53,1.94
279196.8188,768890.0521,44.85,61.79,0.99
371196.8188,768890.0521,47.84,63.61,0.92
378196.8188,768890.0521,50.11,-9999.00,0.74
178196.8188,766890.0521,49.55,60.53,1.70
272196.8188,766890.0521,44.85,61.30,0.99
279196.8188,766890.0521,46.53,61.79,0.96
371196.8188,766890.0521,50.11,63.61,0.74
171196.8188,764890.0521,49.55,60.75,1.70
178196.8188,764890.0521,48.43,60.53,1.79
271196.8188,764890.0521,46.53,61.30,0.96
353196.8188,763890.0521,45.99,63.61,0.93
171196.8188,762890.0521,48.43,60.75,1.79
349196.8188,762890.0521,45.99,64.54,0.93
356196.8188,762890.0521,48.92,63.61,0.81
253196.8188,761890.0521,45.39,61.30,1.22
250196.8188,760890.0521,45.39,60.12,1.22
257196.8188,760890.0521,46.04,61.30,1.30
349196.8188,760890.0521,48.92,64.54,0.81
156196.8188,758890.0521,49.46,60.75,1.52
249196.8188,758890.0521,46.04,60.12,1.30
330196.8188,757890.0521,45.32,64.54,0.91
149196.8188,756890.0521,49.46,61.11,1.52
230196.8188,755890.0521,46.20,60.12,1.86
323196.8188,755890.0521,45.32,64.40,0.91
331196.8188,755890.0521,48.94,64.54,0.78
223196.8188,753890.0521,46.20,59.50,1.86
231196.8188,753890.0521,46.58,60.12,1.96
324196.8188,753890.0521,48.94,64.40,0.78
224196.8188,751890.0521,46.58,59.50,1.96
308196.8188,751890.0521,47.12,64.40,0.86
208196.8188,749890.0521,48.40,59.50,1.94
301196.8188,749890.0521,47.12,64.26,0.86
309196.8188,749890.0521,48.25,64.40,0.87
201196.8188,747890.0521,48.40,60.67,1.94
209196.8188,747890.0521,48.31,59.50,2.00
302196.8188,747890.0521,48.25,64.26,0.87
202196.8188,745890.0521,48.31,60.67,2.00
283196.8188,744890.0521,46.53,64.26,0.96
186196.8188,743890.0521,48.43,60.67,1.79
279196.8188,743890.0521,46.53,60.96,0.96
287196.8188,743890.0521,47.01,64.26,1.07
175196.8188,740890.0521,48.43,61.86,1.79
183196.8188,740890.0521,50.16,60.67,1.70
276196.8188,740890.0521,47.01,60.96,1.07
361196.8188,740890.0521,48.92,-9999.00,0.81
176196.8188,738890.0521,50.16,61.86,1.70
